"","uhash","nr","task_id","learner_id","resampling_id","iteration","errors","brier_improper","brier_improper_erv","brier_proper","brier_proper_erv","caliba_diff","caliba_ratio","dcalib","harrell_c","intlogloss","intlogloss_erv","logloss","rcll","uno_c","tuned","learner_group"
"3535","54412347-fbed-4efb-ae88-86ac7b0765ed",176,"dataSTR","MBST","cv",2,"",0.306765039046,-0.652110810094153,0.306708609618848,-1.1130193304423,21.2597746172712,22.2597746172712,30.7332227409235,0.627006590366364,1.28675282361398,-2.07750427232104,34.5387763949107,6.3438388877155,0.569363713264465,"harrell_c","Boosting"
"3536","54412347-fbed-4efb-ae88-86ac7b0765ed",176,"dataSTR","MBST","cv",3,"",0.255677524412328,-0.662843282239634,0.255610785984696,-1.14033265342885,36.8020933554517,37.8020933554517,31.6163119008879,0.641767084598541,1.1524937186674,-2.54079674020497,30.7461071683304,5.64545108417512,0.629248917102814,"harrell_c","Boosting"
"3537","54412347-fbed-4efb-ae88-86ac7b0765ed",176,"dataSTR","MBST","cv",4,"",0.225229325634297,-0.442195490598476,0.225146395520702,-1.0931164691016,24.1358601802931,25.1358601802931,30.7740839326138,0.661889255046844,0.940932515685285,-2.13556437539804,30.7205395348257,5.64314363612173,0.657001912593842,"harrell_c","Boosting"
"3538","54412347-fbed-4efb-ae88-86ac7b0765ed",176,"dataSTR","MBST","cv",5,"",0.311930569575987,-0.35102676917977,0.309764646611354,-1.06428642264969,7.43016007781128,8.43016007781128,24.8229084878489,0.584294617176056,1.08908739284723,-1.49474830278481,34.5387763949107,6.35312583999018,0.650049269199371,"harrell_c","Boosting"
"3539","c0d052e3-fda6-43b8-b638-150528d6e730",177,"dataSTR","CoxB","cv",1,"",0.195563534593953,-0.0598080140174357,0.18811299413104,0.154048128394854,0.233543499709283,1.23354349970928,1.98702605788552,0.61561119556427,0.581602012387789,0.14667067728466,34.5387763949107,6.71576257106447,0.139806404709816,"harrell_c","Boosting"
"3540","c0d052e3-fda6-43b8-b638-150528d6e730",177,"dataSTR","CoxB","cv",2,"",0.17811389433296,0.040751543361742,0.154961985937389,-0.0675855241766528,0.0687428304273809,0.931257169572619,1.24103653806702,0.640226602554321,0.437146580342454,-0.0455158472906705,34.5387763949107,6.49050862982277,0.581712245941162,"harrell_c","Boosting"
"3541","c0d052e3-fda6-43b8-b638-150528d6e730",177,"dataSTR","CoxB","cv",3,"",0.148532418591844,0.0339935627194899,0.111960978983863,0.0625053700066817,0.178577940528578,1.17857794052858,1.16796679178453,0.62168675661087,0.310565798766913,0.0458513134765403,30.2600100569077,5.68105651814377,0.592821538448334,"harrell_c","Boosting"
"3542","c0d052e3-fda6-43b8-b638-150528d6e730",177,"dataSTR","CoxB","cv",4,"",0.131898649364626,0.155422426480295,0.0943952783770485,0.122436264993357,0.00563026344677175,1.00563026344677,1.56658704019198,0.676872968673706,0.268112337091434,0.106542202788756,30.2522972138081,5.71152041699574,0.685324609279633,"harrell_c","Boosting"
"3543","c0d052e3-fda6-43b8-b638-150528d6e730",177,"dataSTR","CoxB","cv",5,"",0.209028122448541,0.0946620290430638,0.136785403707689,0.0884555265446176,0.20960002101296,0.79039997898704,2.76033416704091,0.615350484848022,0.41270695777772,0.0546213378049144,34.5387763949107,6.51253978819827,0.69726437330246,"harrell_c","Boosting"
"3544","c0a0c9b5-4da8-444b-9f96-652673b4a3dc",178,"dataSTR","XGBCox","cv",1,"",0.209598900323143,-0.135869193369433,0.199533356666217,0.102690288360093,0.144396962364047,1.14439696236405,2.09302881278028,0.618556678295135,0.611364009139588,0.10300372980179,34.5387763949107,6.72074149474959,0.140735849738121,"harrell_c","Boosting"
"3545","c0a0c9b5-4da8-444b-9f96-652673b4a3dc",178,"dataSTR","XGBCox","cv",2,"",0.200041906929711,-0.0773437479649206,0.17811005459322,-0.227060397063206,0.125142370403625,0.874857629596375,5.5433523378859,0.631728053092957,0.492949165917043,-0.178977917364104,34.5387763949107,6.49149649168727,0.535268008708954,"harrell_c","Boosting"
"3546","c0a0c9b5-4da8-444b-9f96-652673b4a3dc",178,"dataSTR","XGBCox","cv",3,"",0.150437290471638,0.0216048968947457,0.115277570158429,0.0347342086229778,0.229487575148249,1.22948757514825,0.708546989248054,0.62168675661087,0.319883319765296,0.0172251722286609,30.2517767855879,5.67357448310548,0.592821538448334,"harrell_c","Boosting"
"3547","c0a0c9b5-4da8-444b-9f96-652673b4a3dc",178,"dataSTR","XGBCox","cv",4,"",0.125533406843584,0.19618054727367,0.0902623330504577,0.160858980617904,0.00651016215931677,0.993489837840683,1.56140424264805,0.6690554022789,0.259872503927353,0.134000630356963,30.2676124767313,5.71349646816758,0.684407830238342,"harrell_c","Boosting"
"3548","c0a0c9b5-4da8-444b-9f96-652673b4a3dc",178,"dataSTR","XGBCox","cv",5,"",0.253501823628222,-0.0979614797714996,0.219962368913215,-0.465839748365808,3.22189316140553,4.22189316140553,1000,0.600266218185425,0.93632172719837,-1.14481138532134,34.5387763949107,6.68992323078872,0.663734018802643,"harrell_c","Boosting"
